sample_index,latitude,longitude
0,38.97848628498022,-76.49214102110467
1,38.978494495053404,-76.49213944550321
2,38.97837071258821,-76.49229567905837
3,38.978351303553424,-76.49215754483224
4,38.97838236239543,-76.49217965410686
5,38.97840487530076,-76.49214842470222
6,38.978317353058294,-76.49229164856578
7,38.97833504875816,-76.49227962242782
8,38.978358197087914,-76.49214233201573
9,38.978417451469966,-76.4922656699949
10,38.9783971082224,-76.49227498448728
11,38.978311824554225,-76.49217347317646
12,38.978316588395394,-76.49215633690896
13,38.97848938652091,-76.49216830443841
14,38.978333583698756,-76.49225433623232
15,38.97848936161633,-76.49213622531578
16,38.97847047164466,-76.49225664485384
17,38.97837673032601,-76.49230030183246
18,38.978458489907595,-76.49231809320688
19,38.97840652600408,-76.49215132420188
20,38.978363729281924,-76.49227598066064
21,38.978486930641466,-76.49223572711995
22,38.97839968928027,-76.4921778493445
23,38.97831976394034,-76.49214409762843
24,38.97832877849335,-76.49215262840883
25,38.97840145600293,-76.49217382653605
26,38.978488570991175,-76.49226123039874
27,38.978412133824854,-76.49231694981893
28,38.9784526648846,-76.49218302565295
29,38.97830471453973,-76.49216024802197
30,38.97831297160631,-76.49230826830797
31,38.97834140867233,-76.49213949699592
32,38.978479090170936,-76.49214910630097
33,38.97834465672752,-76.4922175278498
34,38.978499817886714,-76.49217379356527
35,38.97849895971003,-76.49229713841048
36,38.97832806069478,-76.49214724787588
37,38.97841126508339,-76.49220669855131
38,38.978308541111446,-76.4923079215235
39,38.97849484369962,-76.4922087541753
40,38.97848692002739,-76.49217384864724
41,38.978334376073214,-76.49214350124424
42,38.97846584819388,-76.49212956021245
43,38.97844142170324,-76.4921421000162
44,38.978348970175524,-76.49218189812179
45,38.97845910424631,-76.49217154315005
46,38.978494653507354,-76.4921433244118
47,38.97832794602455,-76.49228408449086
48,38.97830431324929,-76.49224133032364
49,38.978423692821316,-76.49215271585497
