sample_index,latitude,longitude
0,38.97850144562189,-76.49213343153727
1,38.978426154827325,-76.49212776244619
2,38.97831960577352,-76.49222161477424
3,38.97833528698005,-76.49218202315541
4,38.978342368150614,-76.4922232157925
5,38.97838177992197,-76.49222327405674
6,38.9783747447593,-76.49218964221913
7,38.978396073668556,-76.49218376387023
8,38.978325913027994,-76.49219364451277
9,38.978451809833125,-76.49213140455434
10,38.9783495637433,-76.49224862690409
11,38.97849430021478,-76.49223954181882
12,38.978497628482444,-76.49223926287861
13,38.97842877880289,-76.4921511418959
14,38.978308683132866,-76.4921565200909
15,38.9784343016734,-76.49227577800829
16,38.97845389149821,-76.49226028300244
17,38.97842003861156,-76.4923096914744
18,38.97830743170144,-76.49222794204755
19,38.978357495886506,-76.49231205035892
20,38.97836759877563,-76.49212697859609
21,38.978398260881875,-76.49217397644671
22,38.978485463506324,-76.49225301889
23,38.97844186402123,-76.49220146632682
24,38.978420702649075,-76.49216775023598
25,38.97831402344285,-76.49229920861558
26,38.97842567189222,-76.4921820948429
27,38.97840139071172,-76.49216478813169
28,38.978324344705996,-76.49226650562888
29,38.97832201015412,-76.49230563763803
30,38.97837657023199,-76.49220856792803
31,38.97837542432441,-76.49228237994566
32,38.97833069267832,-76.49218513215514
33,38.97840201161032,-76.49217505984339
34,38.9784584009582,-76.49220736339255
35,38.97836938762786,-76.49213499359907
36,38.97831045830938,-76.492314727561
37,38.97848292200313,-76.49226674865461
38,38.97838300028198,-76.49212481769834
39,38.97847134331578,-76.49228163683637
40,38.978387438808305,-76.49214875114603
41,38.97849609373514,-76.49220029415035
42,38.97848332353021,-76.49220473100794
43,38.978451172888384,-76.49226707336922
44,38.978443928772,-76.49216609521874
45,38.97837085354615,-76.49222963818066
46,38.97833706543072,-76.4922381069665
47,38.97841793769876,-76.49221290272808
48,38.978495788709374,-76.49221239289359
49,38.97832901557379,-76.49229547394226
