sample_index,latitude,longitude
0,38.978483106357494,-76.49220294776948
1,38.97839385428966,-76.49221253254211
2,38.97843451294596,-76.49227023899621
3,38.97831539581148,-76.49226280667251
4,38.97846177793698,-76.49227207166197
5,38.97830745773003,-76.49222237629758
6,38.97835323369395,-76.4922798936209
7,38.97845415818466,-76.49221622322818
8,38.97848600331652,-76.49228044417897
9,38.97831676829122,-76.4922594672359
10,38.978414879052465,-76.49224779616918
11,38.97845758894368,-76.4921687484816
12,38.978476066023575,-76.49217069966237
13,38.978334977290906,-76.49221690260661
14,38.978488194520594,-76.4921340229202
15,38.978495236285724,-76.4921962548631
16,38.97833672311213,-76.49213001204978
17,38.97832321226814,-76.49216037609499
18,38.978363290301616,-76.49212483017385
19,38.97831781524475,-76.49223623917513
20,38.9783687930208,-76.49212549572273
21,38.97840218516852,-76.4922389423918
22,38.97844428849204,-76.49213321560862
23,38.978313527695306,-76.49228804405075
24,38.97833312725821,-76.49225905926927
25,38.97837973478161,-76.49220293725831
26,38.97849708361318,-76.49218595905792
27,38.97846260135812,-76.49216809814509
28,38.978337277925,-76.49226491540922
29,38.97833396713384,-76.49212727414545
30,38.97834927594815,-76.4922375258352
31,38.97831956128438,-76.49219766161053
32,38.97835873682167,-76.49215260851066
33,38.978321305792775,-76.49217433953217
34,38.97832985160729,-76.49215734089907
35,38.97832495837303,-76.49230670957759
36,38.97850238980634,-76.49225121374755
37,38.97836067883888,-76.49228823907376
38,38.97845506854459,-76.49227363084859
39,38.97831128186891,-76.49224578936814
40,38.97837505646924,-76.49231826809456
41,38.97841197314261,-76.49212438902953
42,38.97832408622088,-76.49214258966508
43,38.97839481622285,-76.4922003499013
44,38.97836575442029,-76.49228492215283
45,38.97840323777936,-76.4922262438997
46,38.97833193352452,-76.49216994480366
47,38.97830759039053,-76.49229773067503
48,38.97833497125436,-76.49212634717537
49,38.978392403893814,-76.49214427991909
