sample_index,latitude,longitude
0,38.97836623262232,-76.49213221633165
1,38.978421395544856,-76.49220768093323
2,38.978389774883745,-76.49228032345853
3,38.978386896473936,-76.49219291169669
4,38.97834910619024,-76.4921448812515
5,38.97840378491678,-76.4921374791625
6,38.978306654242246,-76.49227708928741
7,38.9784979907939,-76.4923157796597
8,38.978383176055964,-76.49226098876989
9,38.97848444876984,-76.49216908207706
10,38.97846370742983,-76.49226353967983
11,38.978436055734754,-76.49221712289206
12,38.978474722428025,-76.4921705364825
13,38.97838800921971,-76.49231418905676
14,38.978427673128216,-76.49219038513233
15,38.978458633397715,-76.49227788085496
16,38.97843719139564,-76.49227127298222
17,38.97838394864897,-76.49225076154814
18,38.978475858323186,-76.4922567118628
19,38.9785027078496,-76.49220617685668
20,38.97846476981067,-76.49217426719648
21,38.97839522303578,-76.49224983194877
22,38.978343136864844,-76.49213435192823
23,38.978464179300566,-76.49219411508268
24,38.97843569767994,-76.49225064397402
25,38.978470793780716,-76.49226079873142
26,38.97833976001828,-76.4922101584112
27,38.97834165849292,-76.49221322424651
28,38.978395667259576,-76.49218870762539
29,38.978432285508596,-76.49215622535951
30,38.9783090653527,-76.49229448203434
31,38.97845278524774,-76.49222077928955
32,38.97850123603185,-76.49228119184801
33,38.97842874558144,-76.49227627600891
34,38.97833783435421,-76.49222125298172
35,38.97837731707691,-76.49214756188942
36,38.978388340802475,-76.49223015398077
37,38.97831714228111,-76.49218412243629
38,38.978347090772985,-76.49212162126966
39,38.97849967852296,-76.49221711953575
40,38.97847410740162,-76.49221867874235
41,38.978395504755504,-76.49222820495352
42,38.97845762897986,-76.49218241149785
43,38.97842756411247,-76.49223703846445
44,38.978465893823284,-76.49215821220741
45,38.9783857144163,-76.49220923473416
46,38.97838268571527,-76.49221619507652
47,38.97839232654224,-76.49230245551797
48,38.978305978174426,-76.49216817572345
49,38.9783799885228,-76.49214730554942
